City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,46.06,71,0,12.66,AR,1674373034
1,cape town,-33.9258,18.4232,75.11,74,75,8.05,ZA,1674372851
2,cayenne,4.9333,-52.3333,77.04,94,75,6.91,GF,1674373021
3,albany,42.6001,-73.9662,29.91,86,14,2.1,US,1674373036
4,nikolskoye,59.7035,30.7861,26.49,94,72,5.17,RU,1674373037
5,sabha,27.0377,14.4283,56.84,19,2,9.89,LY,1674372948
6,chokurdakh,70.6333,147.9167,-39.75,99,92,7.29,RU,1674373039
7,tiksi,71.6872,128.8694,-17.59,85,100,4.41,RU,1674373040
8,atuona,-9.8,-139.0333,79.05,79,35,21.36,PF,1674372871
9,ransang,8.9603,117.5828,84.69,66,76,8.86,PH,1674373041
10,cobija,-11.0267,-68.7692,72.1,89,97,3.09,BO,1674373042
11,pisco,-13.7,-76.2167,71.65,88,0,3.44,PE,1674373043
12,vao,-22.6667,167.4833,77.25,94,100,26.62,NC,1674373044
13,vaini,-21.2,-175.2,80.76,94,20,4.61,TO,1674373045
14,marawi,7.9986,124.2928,67.08,98,100,3.36,PH,1674373046
15,mayo,38.8876,-76.5119,35.55,80,0,3.44,US,1674373047
16,kyshtovka,56.555,76.6271,11.46,93,100,14.03,RU,1674373048
17,havoysund,70.9963,24.6622,37.63,90,100,31.45,NO,1674373048
18,airai,-8.9266,125.4092,68.02,77,93,2.75,TL,1674373049
19,rikitea,-23.1203,-134.9692,79.5,75,26,17.11,PF,1674373050
20,saint-pierre,-21.3393,55.4781,85.68,66,0,10.36,RE,1674373052
21,arraial do cabo,-22.9661,-42.0278,71.46,100,40,4.61,BR,1674373052
22,hermanus,-34.4187,19.2345,75.79,74,98,4.43,ZA,1674373053
23,jalu,29.0331,21.5482,56.12,40,79,9.22,LY,1674373054
24,new norfolk,-42.7826,147.0587,67.5,72,100,2.93,AU,1674373055
25,east london,-33.0153,27.9116,79.74,78,20,13.8,ZA,1674373056
26,hithadhoo,-0.6,73.0833,81.41,74,70,11.7,MV,1674373057
27,mar del plata,-38.0023,-57.5575,68.95,81,0,9.22,AR,1674373055
28,wenling,28.3669,121.36,57.56,82,64,8.88,CN,1674373058
29,taganak,6.0833,118.3,84.34,77,76,7.7,PH,1674373059
